"Bioproject.Accession";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Strain";"Phenotype";"Relevance";"Diseases";"Host.Name";"Ecosystem.Category";"Habitat";"Study.Name";"HumanHost";"Pathogenic"
"PRJNA48267";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli STEC_O31";"Pathogen";"Animal Pathogen, Medical";"Diarrhea";"Homo sapiens";"Animal";"Host, Human intestinal microflora";"Escherichia coli genome sequencing project, IGS";TRUE;TRUE
"PRJNA38039";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium";"Peptoclostridium difficile";"Clostridium difficile R20291";"Pathogen";"Animal Pathogen, Human Pathogen, Medical, Swine Pathogen";"Colitis, Diarrhea, Peritonitis";"Homo sapiens";"Built environment";"Host";"Clostridium difficile R20291";TRUE;TRUE
"PRJNA59943";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae sv. O1 2010EL-1786";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Human";"Fresh water, Host";"Vibrio cholerae serotype O1 2010EL-1786";TRUE;TRUE
"PRJNA21093";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"Coriobacteriaceae";"Eggerthella";"Eggerthella lenta";"Eggerthella lenta VPI 0255, DSM 2243";"Pathogen";"GEBA, Human Pathogen, Medical, Tree of Life";"Bacteremia";"Homo sapiens";"Human";"Host, Human";"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)";TRUE;TRUE
"PRJNA53777";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus epidermidis";"Staphylococcus epidermidis VCU144";"";"Medical";"Pneumonia, Septicemia";"";"";"Host, Human airways";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA32893";"Actinobacteria";"Actinobacteria";"Bifidobacteriales";"Bifidobacteriaceae";"Bifidobacterium";"Bifidobacterium animalis";"Bifidobacterium animalis lactis DSM 10140";"Non-Pathogen, Probiotic";"Biotechnological, Food industry";"";"Homo sapiens";"Food production";"Host, Intestinal tract";"Bifidobacterium animalis lactis DSM 10140";TRUE;FALSE
"PRJNA59903";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae 2061617";"Pathogen";"Human Pathogen, Medical";"Meningitis, Otitis media, Pneumonia";"Homo sapiens";"Human";"Host";"Pneumococcal meningitis isolates used for genomic comparisons";TRUE;TRUE
"PRJNA39739";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Mycoplasma";"Mycoplasma genitalium";"Mycoplasma genitalium M2321 (Second Assembly Apr12)";"";"Human Pathogen, Medical";"Urogenital infection";"Homo sapiens";"Animal";"Host, Urogenital tract";"Mycoplasma genitalium genome sequencing and comparison";TRUE;TRUE
"PRJNA49995";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Montevideo 609458-1";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Montevideo 609458-1";TRUE;TRUE
"PRJNA30075";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pullorum";"Helicobacter pullorum MIT 98-5489";"";"Comparative analysis, Human Microbiome Project (HMP), Medical";"Gastroenteritis";"Homo sapiens";"Human";"Host";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA53651";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus 21269";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA19957";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus sv. MLST type 144 H3081.97";"Pathogen";"Biothreat, Human Pathogen, Medical";"Food poisoning";"Homo sapiens";"Animal";"Host, Soil";"Bacillus cereus sequencing - TIGR";TRUE;TRUE
"PRJNA67675";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";"Lactobacillus ruminis";"Lactobacillus ruminis SPM0211";"Non-Pathogen, Probiotic";"Food industry";"";"Homo sapiens";"";"Birds intestinal microflora, Human intestinal microflora, Mammalian gastrointestinal tract";"Lactobacillus ruminis SPM0211";TRUE;FALSE
"PRJNA68253";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O104:H4 C227-11";"";"Medical, Pathogen";"";"Homo sapiens";"Human";"Host";"Escherichia coli O104:H4 str. C227-11";TRUE;TRUE
"PRJNA388";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Histophilus";"Histophilus somni";"Histophilus somni 2336";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Arthritis, Myocarditis, Pneumonia";"Homo sapiens";"Mammals";"Host";"Haemophilus somnus V";TRUE;TRUE
"PRJNA38289";"Proteobacteria";"Gammaproteobacteria";"Thiotrichales";"Francisellaceae";"Francisella";"Francisella tularensis";"Francisella tularensis tularensis NE061598";"Pathogen";"Biothreat, Human Pathogen, Medical";"Tularemia";"Homo sapiens";"Human";"Fresh water, Host";"Francisella tularensis tularensis NE061598";TRUE;TRUE
"PRJEA28305";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Typhi M223";"Pathogen";"Human Pathogen, Medical";"Typhoid fever";"Homo sapiens";"";"Host";"Salmonella enterica enterica sv Typhi M223";TRUE;TRUE
"PRJNA64177";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp P-4";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA63779";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni Fiocruz LV2897";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA21001";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Borrelia";"Borrelia burgdorferi";"Borrelia burgdorferi 118a";"Pathogen";"Human Pathogen, Medical";"Lyme disease";"Homo sapiens";"Human";"Host, Human skin";"Whole-genome sequences of thirteen isolates of Borrelia burgdorferi";TRUE;TRUE
"PRJNA72661";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis Nm6938";"Parasite";"Medical";"Meningitis";"Homo sapiens";"Animal";"";"Neisseria meningitidis genome sequencing, Univ of Maryland, School of Medicine / IGS";TRUE;TRUE
"PRJNA63987";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae CP1030(3)";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae genome sequencing project";TRUE;TRUE
"PRJNA32279";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae CCRI 1974";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host, Human nasopharyngeal microflora";"Streptococcus pneumoniae CCRI 1974";TRUE;TRUE
"PRJNA63899";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HE45";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA49849";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans 24";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Streptococcus mutans 24";TRUE;TRUE
"PRJNA79021";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli C170_11";"";"Medical";"Food poisoning";"Homo sapiens";"Animal";"Animal feces, Hot spring, Mammalian gastrointestinal tract";"Escherichia coli genome sequencing project, Univ of Maryland";TRUE;TRUE
"PRJNA38359";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Parabacteroides";"Parabacteroides sp. D13";"Parabacteroides sp. D13";"Non-Pathogen";"Comparative analysis, Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human fecal, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;FALSE
"PRJNA49291";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Propionibacteriaceae";"Propionibacterium";"Propionibacterium propionicum";"Propionibacterium propionicum F0230a";"";"Human Microbiome Project (HMP), Medical";"Opportunistic infection";"Homo sapiens";"Human";"Host, Human oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA32957";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus";"Enterococcus faecium";"Enterococcus faecium 1,231,501";"Pathogen";"Human Pathogen, Medical";"Nocosomial infection, Opportunistic infection";"Homo sapiens";"";"Host, Human intestinal microflora, Soil, Wastewater";"Genome Sequencing of Enterococcus, Broad Institute";TRUE;TRUE
"PRJNA39283";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium tuberculosis";"Mycobacterium tuberculosis W-148";"Pathogen";"Human Pathogen, Medical";"Tuberculosis";"Homo sapiens";"Human";"Host";"Mycobacterium tuberculosis sequencing- Broad Institute";TRUE;TRUE
"PRJNA53177";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus sanguinis";"Streptococcus sanguinis SK408";"Pathogen";"Human Microbiome Project (HMP), Medical";"Endocarditis";"Homo sapiens";"Human";"Host, Oral cavity";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJDA32509";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O26:H11 11368";"";"Comparative analysis, Medical";"Hemorrhagic colitis";"Homo sapiens";"";"Host, Human skin";"Escherichia coli O26:H11 11368";TRUE;TRUE
"PRJNA49815";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans N66";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans";TRUE;TRUE
"PRJNA63863";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae CP1046(19)";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae genome sequencing project";TRUE;TRUE
"PRJNA56127";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia sp. TW15838";"Escherichia sp. TW15838";"Pathogen";"Animal Pathogen, Comparative analysis, Human Pathogen";"";"Homo sapiens";"";"Host";"Escherichia sp sequencing project - Georgia Institute of Technology";TRUE;TRUE
"PRJNA175869";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Moraxella";"Moraxella catarrhalis";"Moraxella catarrhalis RH4";"Pathogen";"";"Furunculosis, Otitis media, Sinusitis";"Homo sapiens";"Animal";"Host";"Moraxella catarrhalis RH4";TRUE;TRUE
"PRJNA65041";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Bulgarica Mallika";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA49829";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans ST6";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans";TRUE;TRUE
"PRJNA60683";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus CIG1612";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"Human";"Host";"Staphylococcus aureus aureus genomes";TRUE;TRUE
"PRJNA48797";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA43380";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJDA19401";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia multivorans";"Burkholderia multivorans ATCC 17616";"";"Comparative analysis, Human Pathogen, Medical";"Cepacia syndrome";"Homo sapiens";"Terrestrial";"Host, Soil";"Burkholderia multivorans ATCC 17616";TRUE;TRUE
"PRJNA72049";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-201";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA21107";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptoclostridium";"Peptoclostridium difficile";"Clostridium difficile QCD-97b34, NAP1b/006";"Pathogen";"Animal Pathogen, Human Pathogen, Medical, Swine Pathogen";"Colitis, Diarrhea, Peritonitis";"Homo sapiens";"Human";"Host";"Clostridium difficile QCD-97b34, NAP1b/006";TRUE;TRUE
"PRJNA42505";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus SJ1";"Pathogen";"Human Pathogen, Medical";"";"Homo sapiens";"";"Host";"Bacillus cereus SJ1";TRUE;TRUE
"PRJNA53767";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus epidermidis";"Staphylococcus epidermidis VCU126";"";"Medical";"Pneumonia, Septicemia";"";"";"Host, Human airways";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA64005";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HE-16";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Wastewater";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA82565";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus";"Enterococcus faecalis";"Enterococcus faecalis V583";"Pathogen";"";"Bacteremia, Endocarditis, Urinary infection";"Homo sapiens";"";"Host, Intestinal tract, Wastewater";"Genome Sequencing of Enterococcus, Broad Institute";TRUE;TRUE
"PRJNA73633";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O104:H4 E112/10";"";"Medical";"Food poisoning";"Homo sapiens";"Human";"Gastrointestinal tract";"Escherichia coli genome sequencing project, Uppsala University";TRUE;TRUE
"PRJNA49775";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans 2VS1";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Streptococcus mutans 2VS1";TRUE;TRUE
"PRJNA19091";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Ureaplasma";"Ureaplasma urealyticum";"Ureaplasma urealyticum sv. 4 58";"Pathogen";"Human Pathogen, Medical";"Chorioamnioitis, Infertility, Non-specific urethritis (NSU)";"Homo sapiens";"Animal";"Host, Urogenital tract";"Genome sequence of Ureaplasma parvum";TRUE;TRUE
"PRJNA72221";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium avium";"Mycobacterium avium avium DT 78";"Intracellular parasite, Pathogen";"Agricultural";"Johne's disease, Paratuberculosis";"Bubalus bubalis";"Human";"Aquatic, Host, Ponds, Soil";"Mycobacterium avium avium DT 78";TRUE;TRUE
"PRJNA49789";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans NMT4863";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans";TRUE;TRUE
"PRJNA15607";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae CJB111, ATCC BAA-23";"Pathogen";"Human Pathogen, Medical";"Meningitis, Pneumonia, Septicemia";"Homo sapiens";"Animal";"Host";"\"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae: implications for the microbial \"\"pan-genome\"";TRUE;TRUE
"PRJNA39603";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae CIRS 101";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Human";"Fresh water, Host";"Vibrio cholerae CIRS 101";TRUE;TRUE
"PRJNA48063";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli ECA-727";"Pathogen";"Animal Pathogen, Medical";"Diarrhea";"Homo sapiens";"Animal";"Host, Human intestinal microflora";"Escherichia coli genome sequencing project - Cornell University";TRUE;TRUE
"PRJNA53439";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii Naval-113";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Human";"Fresh water, Host, Human skin, Skin";"Genome sequencing of  Acinetobacter baumannii Isolates - Walter Reed Army Institute of Research";TRUE;TRUE
"PRJNA48931";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae 7286-06";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae genome sequencing project";TRUE;TRUE
"PRJNA49865";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans M230";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans";TRUE;TRUE
"PRJNA63825";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni HAI0156";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA49843";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans B";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Genome comparisons of Streptococcus mutans oral strains from children with or without severe early childhood caries.";TRUE;TRUE
"PRJNA9";"Proteobacteria";"Gammaproteobacteria";"Thiotrichales";"Francisellaceae";"Francisella";"Francisella tularensis";"Francisella tularensis tularensis CHU S4 (re-annotation)";"Pathogen";"Biothreat, Human Pathogen, Medical";"Tularemia";"Homo sapiens";"Human";"Fresh water, Host";"Tularemia pathogen sequencing  - Swedish Defence Research Agency";TRUE;TRUE
"PRJNA48795";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA43265";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA173233";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Klebsiella";"Klebsiella pneumoniae";"Klebsiella pneumoniae pneumoniae KPNIH24";"";"";"Pneumonia";"Homo sapiens";"";"";"Klebsiella pneumoniae pneumoniae NIH Study";TRUE;TRUE
"PRJNA59551";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Ewingella";"Ewingella americana";"Ewingella americana C.024, ATCC 33852";"";"Human Pathogen, Medical";"";"Homo sapiens";"Human";"Host";"Ewingella americana C.024, ATCC 33852";TRUE;TRUE
"PRJNA42891";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Brucellaceae";"Brucella";"Brucella melitensis";"Brucella melitensis M5-90";"Intracellular pathogen, Pathogen";"Biothreat, Human Pathogen, Mammal Pathogen, Medical";"Spontaneous abortion";"Homo sapiens";"";"Host";"Brucella melitensis M5-90";TRUE;TRUE
"PRJNA18649";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium tuberculosis";"Mycobacterium tuberculosis H37Ra";"Pathogen";"Human Pathogen, Medical";"Tuberculosis";"Homo sapiens";"Lab synthesis";"Host";"Mycobacterium tuberculosis H37Ra";TRUE;TRUE
"PRJNA49669";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pyogenes";"Streptococcus pyogenes MGAS15252";"Pathogen";"Medical";"Mastitis, Otitis, Pharyngitis, Pneumonia, Tonsillitis";"Homo sapiens";"Animal";"Host, Human airways";"Streptococcus pyogenes MGAS15252";TRUE;TRUE
"PRJNA28499";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae SV36";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae SV36";TRUE;TRUE
"PRJNA19709";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Nocardiopsaceae";"Nocardiopsis";"Nocardiopsis dassonvillei";"Nocardiopsis dassonvillei dassonvillei DSM 43111";"Lacks Mycolic acids, Pathogen";"GEBA, Human Pathogen, Medical, Tree of Life";"Actinomycetoma, Pulmonary infection";"Homo sapiens";"Terrestrial";"Soil";"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)";TRUE;TRUE
"PRJNA64057";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori CPY1662";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA38";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Haemophilus";"Haemophilus ducreyi";"Haemophilus ducreyi 35000HP (re-annotation)";"Pathogen";"Human Pathogen, Medical";"Chancroid, Genital ulcer";"Homo sapiens";"Human";"Host";"Haemophilus ducreyi 35000HP";TRUE;TRUE
"PRJNA72063";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-219";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA86473";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00092";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA176850";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus thuringiensis";"Bacillus thuringiensis Bt407";"Pathogen";"Evolution";"Sotto disease";"Homo sapiens";"";"Plant surface, Soil";"Bacillus thuringiensis Bt407";TRUE;TRUE
"PRJNA85617";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori NAB47";"";"Evolution";"Gastrointestinal disease";"Homo sapiens";"Human";"Human stomach";"Helicobacter pylori sequencing project - Univ of Hyderabad";TRUE;TRUE
"PRJNA53417";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii Naval-83";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Unclassified";"Fresh water, Host, Human skin, Skin";"Genome sequencing of  Acinetobacter baumannii Isolates - Walter Reed Army Institute of Research";TRUE;TRUE
"PRJNA39045";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli M863";"Pathogen";"Animal Pathogen, Medical, Swine Pathogen";"Diarrhea";"";"";"Host, Human intestinal microflora";"Escherichia coli genome sequencing - Broad Institute";TRUE;TRUE
"PRJNA51009";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC10F";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA60111";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter baumannii";"Acinetobacter baumannii A118";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Human";"Fresh water, Host, Human skin, Skin";"Acinetobacter baumannii A118";TRUE;TRUE
"PRJNA48067";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli ECC-Z";"Pathogen";"Animal Pathogen, Medical";"Diarrhea";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli genome sequencing project - Cornell University";TRUE;TRUE
